epoche	train err	probe err	elapsed time
0	1.696724	1.522722	0.311889
1	1.521680	1.471588	0.276825
2	1.460651	1.450635	0.269724
3	1.423237	1.436562	0.290857
4	1.393595	1.424956	0.282074
5	1.367812	1.416008	0.327400
6	1.345356	1.409682	0.289430
7	1.325431	1.404665	0.295422
8	1.306679	1.399708	0.271400
9	1.288013	1.394206	0.274366
10	1.268802	1.387945	0.286666
11	1.248686	1.380837	0.270710
12	1.227434	1.372827	0.267330
13	1.204894	1.363884	0.268051
14	1.180988	1.354022	0.288823
15	1.155738	1.343331	0.269554
16	1.129288	1.331983	0.270244
17	1.101914	1.320242	0.284127
18	1.074013	1.308427	0.268322
19	1.046050	1.296876	0.267305
20	1.018495	1.285888	0.268865
21	0.991753	1.275683	0.282446
22	0.966123	1.266383	0.272922
23	0.941789	1.258018	0.274032
24	0.918832	1.250554	0.267147
25	0.897262	1.243915	0.291453
26	0.877041	1.238013	0.268348
27	0.858109	1.232758	0.270668
28	0.840396	1.228071	0.280628
29	0.823828	1.223883	0.275152
30	0.808336	1.220139	0.270798
31	0.793852	1.216791	0.267922
32	0.780313	1.213801	0.282371
33	0.767661	1.211135	0.269446
34	0.755841	1.208765	0.271451
35	0.744801	1.206664	0.269759
36	0.734492	1.204809	0.286907
37	0.724867	1.203177	0.268679
38	0.715883	1.201749	0.267648
39	0.707497	1.200506	0.282772
40	0.699668	1.199429	0.270619
41	0.692356	1.198503	0.267983
42	0.685527	1.197713	0.268014
43	0.679143	1.197044	0.282124
44	0.673174	1.196484	0.268286
45	0.667587	1.196022	0.267560
46	0.662354	1.195648	0.268086
47	0.657449	1.195351	0.291873
48	0.652847	1.195124	0.268524
49	0.648524	1.194959	0.268611
50	0.644462	1.194850	0.335849
51	0.640639	1.194790	0.340701
52	0.637039	1.194774	0.294549
53	0.633646	1.194797	0.309511
54	0.630445	1.194854	0.294401
55	0.627422	1.194942	0.299237
56	0.624566	1.195058	0.304299
57	0.621864	1.195198	0.339590
58	0.619308	1.195359	0.287107
59	0.616886	1.195538	0.286272
60	0.614592	1.195734	0.292936
61	0.612415	1.195944	0.282343
62	0.610350	1.196166	0.281004
63	0.608389	1.196399	0.296445
64	0.606527	1.196641	0.288609
65	0.604756	1.196891	0.282255
66	0.603072	1.197146	0.279119
67	0.601470	1.197407	0.306390
68	0.599945	1.197672	0.286718
69	0.598493	1.197940	0.277344
70	0.597109	1.198210	0.308384
71	0.595791	1.198481	0.286398
72	0.594534	1.198753	0.291252
73	0.593334	1.199025	0.267990
74	0.592190	1.199296	0.301707
75	0.591098	1.199565	0.286069
76	0.590056	1.199834	0.279211
77	0.589060	1.200099	0.302430
78	0.588108	1.200363	0.275994
79	0.587199	1.200623	0.271132
80	0.586329	1.200880	0.287946
81	0.585498	1.201134	0.293850
82	0.584703	1.201384	0.270484
83	0.583942	1.201630	0.286598
84	0.583213	1.201871	0.320136
85	0.582516	1.202109	0.317058
86	0.581848	1.202341	0.289242
87	0.581208	1.202570	0.287038
88	0.580595	1.202793	0.298564
89	0.580008	1.203012	0.294586
90	0.579445	1.203226	0.325756
91	0.578905	1.203435	0.292455
92	0.578387	1.203640	0.281164
93	0.577889	1.203839	0.271440
94	0.577412	1.204033	0.291950
95	0.576955	1.204223	0.275630
96	0.576515	1.204407	0.274629
97	0.576093	1.204587	0.277042
98	0.575687	1.204762	0.296714
99	0.575297	1.204932	0.287086
100	0.574923	1.205097	0.289971
101	0.574563	1.205257	0.292103
102	0.574216	1.205413	0.277279
103	0.573883	1.205564	0.273499
104	0.573563	1.205710	0.366238
105	0.573255	1.205852	0.378862
106	0.572958	1.205990	0.268584
107	0.572672	1.206123	0.267146
108	0.572397	1.206252	0.297193
109	0.572132	1.206377	0.268782
110	0.571877	1.206497	0.270940
111	0.571631	1.206614	0.270545
112	0.571394	1.206726	0.283361
113	0.571166	1.206835	0.268947
114	0.570946	1.206939	0.267219
115	0.570733	1.207040	0.297860
116	0.570528	1.207138	0.272291
117	0.570331	1.207231	0.270394
118	0.570140	1.207321	0.271010
119	0.569956	1.207408	0.289804
120	0.569778	1.207491	0.271955
121	0.569606	1.207571	0.268874
122	0.569440	1.207648	0.283270
123	0.569280	1.207722	0.268174
124	0.569125	1.207792	0.269649
125	0.568975	1.207860	0.268124
126	0.568831	1.207925	0.284300
127	0.568691	1.207987	0.270103
